                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.94378,                0.87951,                 1.2609,                0.82177,                0.79648,                0.86075,                0.61425,                 1.0493,                0.88652,                 1.4447,              0.0012168,              0.0012168,              0.0012168
                     77,                0.87475,                0.83382,                  1.223,                0.86923,                0.79045,                0.87534,                0.62994,                 1.0331,                 0.8106,                 1.4271,               0.001214,               0.001214,               0.001214
                     78,                0.88018,                0.80999,                 1.2552,                0.89482,                0.78846,                0.88373,                0.62116,                 1.1056,                0.81141,                 1.4797,              0.0012111,              0.0012111,              0.0012111
                     79,                0.90437,                0.78749,                 1.2404,                0.82115,                0.81035,                0.89573,                0.60947,                 1.0761,                0.90527,                 1.4607,              0.0012083,              0.0012083,              0.0012083
                     80,                 0.8974,                0.81141,                 1.2422,                0.83473,                 0.7908,                0.86919,                0.61181,                 1.0516,                0.84628,                 1.4294,              0.0012055,              0.0012055,              0.0012055
                     81,                0.89302,                0.81422,                 1.2455,                0.79283,                0.86364,                0.88608,                0.61466,                 1.0403,                0.85828,                 1.4135,              0.0012026,              0.0012026,              0.0012026
                     82,                0.85672,                 0.7762,                 1.2106,                0.77845,                0.78842,                0.84742,                0.59987,                 1.0253,                  0.877,                 1.3971,              0.0011998,              0.0011998,              0.0011998
                     83,                0.92856,                0.83426,                 1.2666,                0.76228,                0.85069,                0.87502,                0.60947,                 1.1113,                0.85454,                 1.4919,               0.001197,               0.001197,               0.001197
                     84,                0.87271,                0.78277,                 1.2139,                0.81523,                0.86553,                0.91453,                0.68145,                0.93896,                0.74378,                 1.3454,              0.0011942,              0.0011942,              0.0011942
                     85,                0.88132,                0.78257,                 1.2361,                 0.8614,                 0.8691,                0.90391,                0.64668,                 1.0181,                0.78318,                 1.3815,              0.0011913,              0.0011913,              0.0011913
                     86,                0.87916,                0.77297,                 1.2153,                0.91439,                0.79825,                0.89556,                0.65065,                 1.0106,                0.83464,                 1.3815,              0.0011885,              0.0011885,              0.0011885
                     87,                 0.8739,                0.78754,                 1.2171,                0.82577,                0.81001,                 0.9065,                0.66436,                0.99962,                0.81085,                 1.3552,              0.0011857,              0.0011857,              0.0011857
                     88,                0.89808,                0.78381,                 1.2392,                0.83219,                0.88246,                0.92726,                0.66185,                 1.0095,                0.76899,                 1.3802,              0.0011828,              0.0011828,              0.0011828
                     89,                0.89607,                0.77231,                 1.2373,                0.88505,                0.81541,                0.90617,                0.63305,                 1.0319,                0.85068,                 1.4262,                0.00118,                0.00118,                0.00118
                     90,                0.90799,                0.76809,                 1.2552,                0.91554,                 0.7963,                0.90378,                0.61668,                 1.0611,                0.82486,                 1.4417,              0.0011772,              0.0011772,              0.0011772
                     91,                0.88073,                0.75684,                 1.2333,                0.86741,                0.82986,                0.90355,                0.60634,                 1.1299,                0.79305,                 1.4997,              0.0011744,              0.0011744,              0.0011744
                     92,                0.86025,                0.75415,                 1.2048,                0.88982,                0.82065,                 0.8941,                0.64098,                 1.0577,                0.79164,                 1.4626,              0.0011715,              0.0011715,              0.0011715
                     93,                0.87398,                 0.7179,                 1.2187,                0.81129,                0.77559,                0.86473,                0.62964,                 1.0081,                0.82993,                 1.4081,              0.0011687,              0.0011687,              0.0011687
                     94,                0.84878,                 0.7114,                 1.1869,                0.78792,                0.81643,                0.86228,                0.63216,                0.93588,                0.81177,                 1.3403,              0.0011659,              0.0011659,              0.0011659
                     95,                0.85522,                0.76295,                 1.2301,                0.87146,                 0.7896,                0.88454,                0.63362,                0.99436,                0.82572,                 1.3895,               0.001163,               0.001163,               0.001163
                     96,                0.88133,                0.77832,                 1.1962,                0.85482,                 0.8187,                0.89437,                 0.6415,                0.95108,                0.89727,                  1.362,              0.0011602,              0.0011602,              0.0011602
                     97,                0.86071,                0.76908,                 1.2276,                0.84647,                0.79018,                0.87562,                0.61872,                 1.0327,                0.94707,                 1.4337,              0.0011574,              0.0011574,              0.0011574
                     98,                0.86339,                0.72964,                  1.214,                0.84566,                0.82253,                0.90258,                0.65973,                0.95678,                 0.8029,                 1.3899,              0.0011545,              0.0011545,              0.0011545
                     99,                 0.8504,                0.72485,                 1.2162,                0.86184,                0.84693,                0.92609,                0.66475,                0.99201,                0.75929,                 1.4082,              0.0011517,              0.0011517,              0.0011517
                    100,                0.87364,                0.76894,                 1.2248,                0.89878,                0.75733,                0.89395,                0.65733,                0.97738,                 0.7726,                 1.3676,              0.0011489,              0.0011489,              0.0011489
                    101,                0.80462,                0.70575,                  1.161,                0.91317,                0.78742,                0.89478,                0.65999,                0.93982,                0.79802,                 1.3325,              0.0011461,              0.0011461,              0.0011461
                    102,                0.86945,                0.76608,                 1.1902,                0.85751,                0.82215,                 0.9035,                0.65438,                  1.061,                0.78045,                 1.4418,              0.0011432,              0.0011432,              0.0011432
                    103,                0.82419,                0.71012,                 1.1868,                0.85551,                0.85442,                0.90845,                0.66608,                0.94664,                 0.7709,                 1.3447,              0.0011404,              0.0011404,              0.0011404
                    104,                0.84699,                 0.7185,                 1.1992,                0.85096,                0.82931,                0.87987,                0.62592,                 1.0114,                0.82232,                 1.3783,              0.0011376,              0.0011376,              0.0011376
                    105,                0.82775,                0.68959,                 1.1651,                0.81004,                0.84505,                0.88249,                0.65883,                0.97327,                0.78443,                 1.3481,              0.0011347,              0.0011347,              0.0011347
                    106,                0.83725,                0.71121,                 1.2142,                0.78815,                0.83235,                0.85464,                 0.6383,                0.99043,                 0.8494,                 1.3595,              0.0011319,              0.0011319,              0.0011319
                    107,                0.80409,                0.69458,                   1.16,                0.85001,                0.87645,                0.90113,                0.66771,                0.97625,                0.76987,                 1.3593,              0.0011291,              0.0011291,              0.0011291
                    108,                0.86366,                0.75193,                  1.214,                0.85187,                0.86394,                 0.9039,                0.66202,                0.95744,                0.75368,                 1.3482,              0.0011263,              0.0011263,              0.0011263
                    109,                0.80222,                0.70083,                 1.1759,                0.87137,                0.88678,                0.91171,                0.65567,                 1.0006,                0.73243,                 1.3794,              0.0011234,              0.0011234,              0.0011234
                    110,                0.82644,                 0.6772,                 1.1916,                 0.8718,                0.78905,                0.89321,                0.65513,                0.91254,                0.73384,                 1.3164,              0.0011206,              0.0011206,              0.0011206
                    111,                0.82172,                0.71389,                  1.195,                0.87938,                0.81719,                0.89348,                0.65125,                 1.0174,                0.75873,                 1.3926,              0.0011178,              0.0011178,              0.0011178
                    112,                0.81988,                0.69769,                  1.175,                0.91459,                0.80767,                0.91035,                0.68304,                0.89599,                0.68797,                 1.2928,              0.0011149,              0.0011149,              0.0011149
                    113,                0.80128,                0.67241,                  1.173,                0.83899,                0.85108,                0.92126,                0.68107,                0.90885,                0.69246,                 1.3077,              0.0011121,              0.0011121,              0.0011121
                    114,                0.82084,                0.67861,                 1.1653,                0.88054,                 0.8571,                0.89434,                 0.6605,                0.93744,                0.74336,                 1.3319,              0.0011093,              0.0011093,              0.0011093
                    115,                0.79929,                0.67578,                 1.1793,                0.87674,                0.85837,                0.90607,                0.66575,                 0.9304,                0.78508,                 1.3245,              0.0011064,              0.0011064,              0.0011064
                    116,                0.81601,                 0.6664,                 1.1919,                0.86781,                0.88383,                0.92847,                 0.6656,                0.99831,                0.70128,                 1.3921,              0.0011036,              0.0011036,              0.0011036
                    117,                0.79562,                0.65764,                 1.1554,                0.86413,                 0.8807,                0.90765,                0.66523,                 0.9791,                0.71731,                 1.3715,              0.0011008,              0.0011008,              0.0011008
                    118,                0.80752,                0.64676,                 1.1727,                0.81957,                0.82748,                0.88854,                0.64453,                0.99649,                0.77817,                 1.3737,               0.001098,               0.001098,               0.001098
                    119,                 0.8218,                0.68632,                 1.1831,                0.83667,                0.88388,                0.89288,                0.63859,                0.96978,                0.71511,                 1.3301,              0.0010951,              0.0010951,              0.0010951
                    120,                0.81566,                0.68844,                 1.1619,                0.86306,                0.84695,                0.89927,                 0.6662,                0.94979,                0.73764,                 1.3414,              0.0010923,              0.0010923,              0.0010923
                    121,                0.78133,                0.62972,                 1.1503,                0.85467,                0.78432,                0.87043,                0.63576,                 1.0318,                0.84158,                 1.4222,              0.0010895,              0.0010895,              0.0010895
                    122,                0.79423,                0.66866,                 1.1641,                0.85946,                0.79877,                0.88484,                0.64824,                0.99134,                0.78854,                 1.3856,              0.0010866,              0.0010866,              0.0010866
                    123,                0.78349,                0.64854,                 1.1479,                0.84973,                0.86113,                0.92221,                0.67834,                0.96063,                0.68842,                 1.3391,              0.0010838,              0.0010838,              0.0010838
                    124,                0.78753,                0.64344,                 1.1561,                0.91123,                0.83588,                0.92742,                0.65513,                 0.9838,                0.70222,                 1.3726,               0.001081,               0.001081,               0.001081
                    125,                 0.7739,                0.62699,                 1.1525,                0.84557,                0.86423,                 0.9224,                0.64949,                 1.0648,                 0.7428,                 1.4283,              0.0010782,              0.0010782,              0.0010782
                    126,                0.78228,                0.64389,                 1.1571,                0.89008,                0.83301,                0.92151,                0.67674,                0.94712,                0.70301,                 1.3304,              0.0010753,              0.0010753,              0.0010753
                    127,                0.80013,                0.66995,                 1.1549,                0.86239,                0.87101,                 0.9147,                0.68415,                0.96482,                0.70607,                 1.3318,              0.0010725,              0.0010725,              0.0010725
                    128,                0.80951,                0.63955,                  1.149,                0.84174,                0.87874,                0.90305,                 0.6627,                0.97362,                0.71053,                 1.3404,              0.0010697,              0.0010697,              0.0010697
                    129,                0.80477,                0.63793,                 1.1641,                0.84858,                0.83477,                0.89856,                0.67623,                0.98185,                0.72497,                  1.371,              0.0010668,              0.0010668,              0.0010668
                    130,                 0.7801,                0.64365,                 1.1391,                0.89056,                 0.8316,                0.91277,                0.65555,                0.97037,                0.74785,                 1.3444,               0.001064,               0.001064,               0.001064
                    131,                0.77932,                0.63589,                 1.1642,                0.88507,                0.81038,                0.89333,                 0.6273,                 1.0327,                0.79282,                 1.4042,              0.0010612,              0.0010612,              0.0010612
                    132,                0.77745,                0.62393,                 1.1418,                0.87332,                0.79521,                0.88073,                0.63305,                 1.0118,                0.81363,                 1.3898,              0.0010583,              0.0010583,              0.0010583
                    133,                0.78786,                0.65802,                 1.1596,                0.85799,                 0.8359,                0.89672,                0.63738,                0.98629,                 0.7821,                 1.3806,              0.0010555,              0.0010555,              0.0010555
